Round,ScoringLogic,SelectionHeuristic,Efficiency,Rationale
222,"h1 = np.tanh(w[0]*m123 + w[1]*pt)
h2 = np.tanh(w[2]*eta + w[3]*score_xgb)
h3 = np.maximum(0, w[4]*r_ab + w[5]*dr_ab)
h4 = np.exp(w[6]*h1 + w[7]*h2)
final_scores = np.tanh(w[8]*h3 + w[9]*h4)",Success,0.0000,"The parametric formula implements a shallow, fully‑connected multi‑layer perceptron where each hidden unit is a handcrafted non‑linear combination of physically‑motivated features. \n- tanh provides smooth saturation for bounded inputs (e.g., eta, score_xgb). \n- ReLU (via np.maximum) enforces positivity on distance‑like quantities (r_ab, dr_ab). \n- An exponential layer captures multiplicative scaling between intermediate activations. \nThese elementary operations keep the model interpretable while still enabling the network to discover higher‑order interactions. The final tanh squeezes the output into a bounded score that can be directly compared across candidates. \nThe selection heuristic evaluates every candidate with the symbolic perceptron and returns the one with the maximal output, guaranteeing that, under the learned model, the chosen candidate is the global optimum among the supplied set."
225,"h1 = np.tanh(w[0] * m123 + w[1] * pt)
h2 = np.exp(w[2] * eta + w[3] * score_xgb)
h3 = np.maximum(0, w[4] * r_ab + w[5] * dr_ab)
final_scores = w[6] * h1 + w[7] * h2 + w[8] * h3",Success,0.0000,"The parametric formula defines a three‑layer Multi‑Layer Perceptron built directly on the physics‑derived features m123, pt, eta, score_xgb, r_ab and dr_ab. Hidden unit h1 uses a tanh non‑linearity, providing smooth saturation that is useful for modelling bounded physical relationships such as detector response curves. Hidden unit h2 applies an exponential activation to capture multiplicative growth patterns that often appear in kinematic scaling or likelihood scores. Hidden unit h3 is a ReLU (implemented via np.maximum) to keep a piecewise‑linear pathway that preserves contributions for large positive inputs while discarding negative ones, a common pattern for selection‑type features like r_ab. The final_scores is a linear combination of these three transformed representations, allowing the network to learn a weighted ensemble of distinct nonlinear feature mappings.

Initial weights are chosen with modest magnitudes (absolute values <= 1) so that activations start in the quasi‑linear regime, which aids stability when training is performed with gradient‑free optimisation methods often used in high‑energy physics where differentiable loss may be unavailable. The sign diversity (both positive and negative values) encourages the model to explore additive and subtractive feature interactions from the outset.

The selection heuristic implements a hybrid greedy‑plus‑branch‑and‑bound approach. By sorting candidates in descending order of their computed final_score, the algorithm quickly builds promising partial solutions. The backtrack routine then explores all feasible subsets respecting a pairwise similarity constraint (e.g., limiting Pearson correlation) up to a user‑defined cardinality. An optimistic upper bound (sum of remaining scores) prunes branches that cannot beat the best solution found so far, guaranteeing global optimality for modest problem sizes while remaining tractable for larger sets thanks to aggressive pruning. This heuristic matches typical physics analysis workflows where one wants the highest‑scoring, yet diverse, subset of events or detector regions, effectively balancing exploitation (score maximisation) and exploration (diversity)."
226,"h1 = np.tanh(w[0]*m123 + w[1]*pt + w[2]*eta + w[3]*score_xgb + w[4]*r_ab + w[5]*dr_ab + w[6])
h2 = np.maximum(0, w[7]*h1 + w[8]*m123 + w[9]*pt + w[10])
final_scores = np.tanh(w[11]*h2 + w[12]*score_xgb + w[13])",Success,0.0000,"The proposed Deep Symbolic Perceptron mimics a tiny multilayer perceptron while remaining fully expressed as a symbolic equation. The first hidden layer uses a tanh non‑linearity, which yields bounded, smooth responses and is well suited to capture interactions among the six physics‑derived features (m123, pt, eta, score_xgb, r_ab, dr_ab). A ReLU second hidden layer introduces sparsity and piece‑wise linearity, helping the model learn conditional behaviours (e.g., only activating when certain kinematic thresholds are exceeded). The final tanh squashes the output to a controlled range, facilitating stable ranking of candidates.

Fourteen trainable weights (including three bias terms) are sufficient for a lightweight model that can be trained with a few hundred labelled events using gradient‑free optimisation (e.g., CMA‑ES) or simple linear regression on the expanded feature space. The initial weights are deliberately small and centered around zero to avoid saturating tanh at the start while allowing the ReLU bias to remain zero, giving the network a neutral starting point.

The selection heuristic exhaustively evaluates the symbolic network on each candidate and returns the one with maximal score. Because the model is deterministic and the candidate set is finite, this greedy scan guarantees the global optimum with respect to the learned scoring function. For very large candidate pools a stochastic sampling or batch‑wise evaluation could be added without altering the optimality guarantee for the sampled subset.

Overall, the design balances expressive power (two non‑linear layers), interpretability (all operations are explicit arithmetic), and computational efficiency (a handful of vectorised NumPy operations)."
231,"l1 = w[0]*m123 + w[1]*pt + w[2]*eta + w[3]*score_xgb + w[4]*r_ab + w[5]*dr_ab
h1 = np.tanh(l1)
l2 = w[6]*m123 + w[7]*pt + w[8]*eta + w[9]*score_xgb + w[10]*r_ab + w[11]*dr_ab
h2 = np.tanh(l2)
l3 = w[12]*m123 + w[13]*pt + w[14]*eta + w[15]*score_xgb + w[16]*r_ab + w[17]*dr_ab
h3 = np.tanh(l3)
h4 = np.maximum(0, w[18]*h1 + w[19]*h2 + w[20]*h3)
h5 = np.exp(w[21]*h1 + w[22]*h2 + w[23]*h3)
final_scores = w[24]*h4 + w[25]*h5 + w[26]",Success,0.0000,"The architecture mirrors a shallow Multi‑Layer Perceptron (MLP) whose hidden units are expressed as explicit symbolic formulas. The first hidden layer uses tanh, a smooth bounded non‑linearity that preserves gradient information for both positive and negative inputs, which is useful for physics‑inspired features that often span symmetric ranges (e.g. eta). The second hidden layer mixes a ReLU‑type unit (max(0,·)) to introduce sparsity and a pure exponential unit to allow the model to sharply amplify highly relevant combinations – a pattern observed in energy‑dependent cross‑section terms. The final linear combination (w[24]*h4 + w[25]*h5 + bias) enables the model to extrapolate a scalar ‘score’.\n\nChoosing three neurons in the first layer provides enough capacity to capture pairwise interactions among the six input features without incurring a combinatorial explosion. By laying out the weight vector w as a flat array, the model remains easily introspectable and amenable to symbolic manipulation (e.g., extracting analytical gradients).\n\nThe selection heuristic performs an exhaustive evaluation of all candidates with the current perceptron and returns the one with the highest predicted score. Because the candidate set is finite, this yields the global optimum for the given model. A tie‑breaking rule based on distance from the mean feature vector favours diverse solutions – a simple proxy for avoiding local plateaus when the candidate set is generated dynamically (e.g., in a genetic‑algorithm loop).\n\nOverall, this design balances expressivity (via non‑linear hidden units), interpretability (explicit formulas, flat weight vector), and optimisation tractability (global selection over a discrete set)."
232,"h1 = np.tanh(w[0]*m123 + w[1]*pt + w[2]*eta + w[3]*score_xgb + w[4]*r_ab + w[5]*dr_ab + w[6])
h2 = np.maximum(0, w[7]*h1 + w[8])
h3 = np.exp(w[9]*h2)
final_scores = w[10]*h3 + w[11]",Success,0.0000,"The Deep Symbolic Perceptron (DSP) is a fully explicit MLP that keeps every algebraic transformation visible.  \n\n* **Depth & Non‑linearity** – Two hidden layers are used: a tanh unit provides smooth, bounded mixing of all six raw physics features, a ReLU introduces piece‑wise linear sparsity, and an exponential layer can model steeply rising response (e.g., threshold effects in detector efficiencies).  This cascade yields a highly expressive scalar function while remaining analytically tractable.\n\n* **Interpretable weights** – Each weight in the vector `w` has a clear role: the first six linearly combine the raw observables, `w[6]` is a bias for the tanh layer, `w[7]` and `w[8]` shape the ReLU gate, `w[9]` controls the curvature of the exponential, and `w[10]`/`w[11]` form the final linear read‑out.  Starting with modest values prevents saturation and lets gradient‑free optimisation (e.g., evolutionary strategies) explore the landscape safely.\n\n* **Selection heuristic** – The `select` function implements a deterministic greedy search over a discrete candidate set.  It evaluates the DSP for each entry, sorts by the predicted score, and returns the first candidate that satisfies simple physical sanity checks (`pt>0`, `eta\u22650`).  Because the score function is fixed, this procedure yields the *global optimum* among the admissible candidates.  If no candidate passes the checks, the fallback still guarantees the mathematically maximal scorer.  The design is lightweight, runs in O(N\log N) time, and can be wrapped inside higher‑level optimisation loops (e.g., Bayesian optimisation of feature engineering).\n\nOverall, the DSP provides a compact, differentiable surrogate model that can be trained on high‑level simulation data, while the selection heuristic ensures that the best physically plausible solution is extracted from any candidate pool."
233,"h1 = np.tanh(w[0]*m123 + w[1]*pt + w[2]*eta)
h2 = np.tanh(w[3]*score_xgb + w[4]*r_ab + w[5]*dr_ab)
h3 = np.tanh(w[6]*m123 + w[7]*score_xgb + w[8]*dr_ab)
h4 = np.maximum(0, w[9]*pt + w[10]*r_ab)
final_scores = np.exp(w[11]*h1 + w[12]*h2 + w[13]*h3 + w[14]*h4)",Success,0.0000,"The architecture mirrors a shallow multi‑layer perceptron where each hidden unit is a simple symbolic combination of physics‑motivated features (m123, pt, eta, score_xgb, r_ab, dr_ab). Non‑linearities (tanh and ReLU) give the model the capacity to capture interaction terms and saturation effects common in high‑energy physics observables. The final exponential maps the linear combination of hidden activations to a strictly positive score, useful for ranking or likelihood‑like quantities. By exposing the weight vector w explicitly, the model remains interpretable: each weight quantifies the contribution of a raw feature or a hidden interaction term. The selection heuristic implements a beam‑search with stochastic perturbations (akin to a lightweight evolutionary optimizer) that explores the neighbourhood of promising candidates while keeping computational cost low, increasing the chance of escaping local optima and approaching a global optimum."
235,"h1_0 = np.tanh(w[0]*m123 + w[1]*pt + w[2]*eta + w[3]*score_xgb + w[4]*r_ab + w[5]*dr_ab)
h1_1 = np.tanh(w[6]*m123 + w[7]*pt + w[8]*eta + w[9]*score_xgb + w[10]*r_ab + w[11]*dr_ab)
h1_2 = np.tanh(w[12]*m123 + w[13]*pt + w[14]*eta + w[15]*score_xgb + w[16]*r_ab + w[17]*dr_ab)
h2_0 = np.maximum(0, w[18]*h1_0 + w[19]*h1_1 + w[20]*h1_2)
h2_1 = np.maximum(0, w[21]*h1_0 + w[22]*h1_1 + w[23]*h1_2)
final_scores = np.exp(w[24]*h2_0 + w[25]*h2_1)",Success,0.0000,"The architecture mirrors a classic 2‑layer multilayer perceptron while staying fully expressed as a symbolic formula. The first hidden layer uses tanh to capture smooth, bounded interactions among the six physics‑derived features (m123, pt, eta, score_xgb, r_ab, dr_ab). The second hidden layer applies a ReLU to introduce sparsity and allow piece‑wise linear behaviour, which is advantageous for modelling thresholds common in particle‑physics selections. The final exponential ensures the output is strictly positive and emphasizes high‑score candidates, matching typical likelihood‑style scoring. All parameters are collected in a single vector `w` so the model can be trained by any gradient‑based optimiser or evolved with simple evolutionary strategies. The provided selection heuristic exhaustively evaluates every candidate with the current network, guaranteeing that the globally highest scoring event is chosen. A small relative‑tolerance tie‑breaker based on physically motivated quantities (higher transverse momentum, smaller pseudorapidity) prevents arbitrary selections when scores are indistinguishable, nudging the algorithm toward physically desirable regions of phase space.
Overall, this Deep Symbolic Perceptron offers a transparent, differentiable mapping that can be embedded directly into physics analyses, allowing both fast inference and interpretability of the learned feature interactions."
239,"h1 = np.tanh(w[0]*m123 + w[1]*pt + w[2]*eta)
# First hidden tier mixes low‑level kinematics with a smooth sigmoid non‑linearity.
h2 = np.maximum(0, w[3]*score_xgb + w[4]*r_ab + w[5]*dr_ab)
# ReLU captures sparsity in the boosted‑tree score and geometric separation.
h3 = np.exp(w[6]*h1 + w[7]*h2)
# Exponential coupling creates a multiplicative boost for jointly strong signals.
final_scores = w[8]*h1 + w[9]*h2 + w[10]*h3 + w[11]",Success,0.0000,"The proposed Deep Symbolic Perceptron (DSP) mirrors a shallow MLP while keeping every operation transparent. 

* **Expressivity** – A combination of `tanh`, `ReLU` (via `np.maximum`), and `exp` provides smooth saturation, sparsity, and multiplicative scaling, respectively. This trio has been shown to capture both additive and synergistic effects in high‑energy physics observables, where relationships are often non‑linear and feature interactions matter.

* **Feature blending** – The first hidden unit `h1` mixes the raw kinematic variables (m123, pt, eta) using a tanh activation, which regularises extreme values and preserves gradient flow. The second hidden unit `h2` isolates the discriminative power of the boosted‑tree score (`score_xgb`) and the geometric separations (`r_ab`, `dr_ab`) through a ReLU, encouraging a piecewise‑linear response that can zero‑out irrelevant contributions.

* **Exponential coupling** – By feeding `h1` and `h2` into `h3 = exp(w6*h1 + w7*h2)`, the network can generate a strong multiplicative boost when both low‑level kinematics and high‑level classifier scores align, a pattern frequently observed in signal‑rich regions of phase space.

* **Linear read‑out** – The final linear combination (`final_scores`) with a bias term preserves interpretability: each weight can be inspected to assess the relative importance of the three latent features.

* **Initialisation** – The weight vector is seeded with small, diverse values around zero to break symmetry while keeping the network in the linear regime initially. This aids stable early optimisation and ensures that the model does not start saturated.

* **Selection heuristic** – The `select` function evaluates the exact score for every candidate and returns the arg‑max. Because the DSP score is deterministic, this exhaustive scan guarantees the global optimum of the current model, eliminating the need for stochastic search while still being computationally cheap for typical candidate set sizes (hundreds to a few thousand). If scalability becomes a concern, the routine can be wrapped with a top‑k pre‑filter or vectorised NumPy operations.

Overall, the architecture respects the ""deep symbolic"" ethos: it is deep enough to capture non‑linear physics patterns yet remains fully expressible as a closed‑form mathematical expression, facilitating debugging, physics insight, and integration into downstream analysis pipelines."
242,"h1 = np.tanh(w[0]*m123 + w[1]*pt)
# nonlinear interaction of m123 and pt with tanh
h2 = np.tanh(w[2]*eta + w[3]*score_xgb)
# tanh mixing of pseudorapidity and XGBoost score
h3 = np.maximum(0, w[4]*r_ab + w[5]*dr_ab)
# ReLU branch forces geometric terms to stay non‑negative
h4 = np.tanh(w[6]*h1 + w[7]*h2 + w[8]*h3)
# final hidden unit blends the three previous features
final_scores = w[9] + w[10]*h4
# affine read‑out yields the scalar score",Success,0.0000,"The architecture mirrors a shallow multi‑layer perceptron that remains analytically tractable. Two tanh hidden units capture smooth, physics‑motivated correlations (e.g. between invariant mass m123 and transverse momentum pt, and between pseudorapidity and an XGBoost auxiliary score). A ReLU branch enforces the natural positivity of geometric quantities r_ab and dr_ab, which often represent distances or radii in detector space. These three latent features are fused with a fourth tanh unit, providing a non‑linear mixture while keeping the model size tiny enough for manual inspection of individual weights. The final affine read‑out produces a single scalar score that can be interpreted as a likelihood or ranking metric.

The selection heuristic simply evaluates the symbolic network on every candidate and returns the one with maximal `final_score`. Because the candidate set is finite and the network is deterministic, this exhaustive search guarantees a global optimum with respect to the defined surrogate model. For very large collections, the same interface can be swapped for a beam‑search or stochastic hill‑climbing routine without altering the surrounding codebase, preserving the guarantee of asymptotic convergence to the optimum.

Overall, this Deep Symbolic Perceptron offers a balance between expressive power (through mixed non‑linearities) and interpretability (each weight maps directly to a physics term), while the selection heuristic provides a clear path to the globally best candidate under the learned surrogate."
243,"h1 = np.tanh(w[0]*m123 + w[1]*pt)
h2 = np.tanh(w[2]*eta + w[3]*score_xgb)
h3 = np.maximum(0, w[4]*r_ab + w[5]*dr_ab)
final_scores = w[6]*h1 + w[7]*h2 + w[8]*h3 + w[9]",Success,0.0000,"The design follows a shallow symbolic MLP that can be written down analytically yet retains the expressive power of deep learning. By stacking three non‑linear hidden units – a tanh block mixing the invariant mass (m123) and transverse momentum (pt), a second tanh block coupling pseudorapidity (eta) with an XGBoost score, and a ReLU block that captures sign‑sensitive geometric information (r_ab, dr_ab) – the network can model both smooth physics‑driven correlations and sharp decision boundaries. The final linear combination with a bias term provides a single scalar ranking (final_scores) that can be used for candidate selection.

The initial weights are modest (order 10⁻¹) to keep activations in the linear regime at the start, which aids stability during any downstream training or fine‑tuning. The selection heuristic evaluates the symbolic network for every candidate, picks the maximal score (guaranteed to be the global optimum of the learned scoring function over the provided set), and breaks ties with a secondary physical metric (minimal dr_ab) to avoid ambiguous selections. This two‑stage rule ensures deterministic, physics‑aware decisions while remaining fully differentiable – a key requirement for integrating the perceptron into larger gradient‑based pipelines.

Overall, the architecture balances interpretability (explicit formula), computational efficiency (no hidden loops beyond vectorized NumPy), and the capacity to capture the non‑linear feature interactions needed for high‑energy physics event reconstruction."
244,"h1 = np.tanh(w[0]*m123 + w[1]*pt + w[2]*eta)
h2 = np.maximum(0, w[3]*score_xgb + w[4]*r_ab)
h3 = np.exp(w[5]*dr_ab)
final_scores = w[6]*h1 + w[7]*h2 + w[8]*h3",Success,0.0000,"The Deep Symbolic Perceptron is a compact, analytically interpretable MLP that respects the physics of high‑energy observables while remaining easy to train.\n\n* **Non‑linearities** – `tanh` provides smooth bounded responses suitable for interference‑like patterns in m123, pt, and eta. `np.maximum(0, ...)` (ReLU) yields sparse activations that emulate detector thresholds on derived quantities such as the XGBoost score and r_ab. `np.exp` captures the steeply falling tails typical of momentum‑derived variables (dr_ab).\n* **Feature engineering** – The six input features (m123, pt, eta, score_xgb, r_ab, dr_ab) already encode the most relevant kinematic and classifier information. By feeding them directly we avoid unnecessary transformations and preserve physical meaning.\n* **Weight initialization** – Small, diverse seed values keep the hidden units in their linear regime initially, preventing saturation of tanh and ensuring stable gradient flow when the network is later fine‑tuned.\n* **Interpretability** – With only three hidden units the final expression `final_scores = w6*h1 + w7*h2 + w8*h3` can be examined term‑by‑term, offering insight into how each physical effect contributes to the decision function.\n\nThe selection heuristic `select` evaluates the complete candidate set with the exact same analytic network, computes a vector of `final_scores`, and returns the element with the maximal score. Because the evaluation is exhaustive (no stochastic sampling), the method guarantees the global optimum with respect to the current model parameters. The implementation is fully vectorised with NumPy for speed and relies only on the shared weight vector `w`, making it trivial to embed within an outer optimisation loop that may adapt `w` during training."
245,"h1 = np.tanh(w[0]*m123 + w[1]*pt + w[2]*eta + w[3]*score_xgb + w[4]*r_ab + w[5]*dr_ab + w[6])
h2 = np.exp(w[7]*m123 + w[8]*pt + w[9]*eta + w[10]*score_xgb + w[11]*r_ab + w[12]*dr_ab + w[13])
h3 = np.maximum(0, w[14]*m123 + w[15]*pt + w[16]*eta + w[17]*score_xgb + w[18]*r_ab + w[19]*dr_ab + w[20])
final_scores = np.tanh(w[21]*h1 + w[22]*h2 + w[23]*h3 + w[24])",Success,0.0000,"The presented parametric formula implements a compact three-layer MLP using three heterogeneous nonlinearities - tanh, exponential, and ReLU - to enrich the hypothesis space while keeping the model fully differentiable and analytically tractable. Each hidden unit focuses on a different statistical transformation of the raw physics features: (i) tanh captures bounded, symmetric relationships (e.g., momentum conservation), (ii) exp emphasizes positive, multiplicative effects (e.g., likelihood ratios from gradient-boosted scores), and (iii) ReLU isolates sparse, threshold-driven signals (e.g., detector hit presence). By linearly mixing these hidden activations with a final tanh, the network can represent a wide family of smooth, monotonic scoring functions that remain interpretable as a weighted sum of symbolic terms - a key requirement for Deep Symbolic Perceptrons.

The initial weights are small random values centred around zero, which encourages early training to explore the local curvature of the loss landscape without saturating the tanh or exp units. This mirrors common practice in physics-informed neural networks where scaling of input features is known and extreme weight magnitudes can break physical invariances.

For candidate selection, a full combinatorial search is infeasible when the number of objects (e.g., particles, calorimeter cells) is large. The heuristic therefore adopts a greedy, non-overlapping strategy: candidates are ranked by the MLP score, and any candidate that is within a tight proximity window in the (r_ab, dr_ab) subspace to an already chosen element is discarded. This proximity filter encodes the physical intuition that two candidates too close in space (or in the derivative of the distance) likely correspond to the same underlying object, and thus only one should be kept. Though greedy, this algorithm provides a good approximation to the global optimum for sparse selections because the score distribution is sharply peaked and the proximity constraints are local. The method scales linearly with the number of candidates and can be further refined (e.g., beam search, simulated annealing) if higher-order dependencies become relevant.

Overall, the design balances expressive power, interpretability, and computational efficiency, making it well-suited for high-energy physics reconstruction tasks where both physics insight and data-driven performance are essential."
246,"h1 = np.tanh(w[0]*m123 + w[1]*pt + w[2]*eta)
h2 = np.maximum(0, w[3]*score_xgb + w[4]*r_ab)
h3 = np.exp(w[5]*dr_ab)
final_scores = w[6]*h1 + w[7]*h2 + w[8]*h3 + w[9]",Success,0.0000,"The architecture mixes three complementary nonlinearities: tanh for bounded smooth interactions among the kinematic variables (m123, pt, eta), ReLU for sparse gating on the boosted‑tree score and the spatial separation r_ab, and an exponential to amplify the drift term dr_ab. These transformations enable the perceptron to capture saturating, piecewise‑linear, and multiplicative effects that are common in high‑energy‑physics observables while remaining shallow enough for symbolic inspection. The final linear read‑out aggregates the three hidden activations with learned scaling, keeping the model interpretable and fast to evaluate.
Initial weights are centered around zero with modest magnitude to break symmetry and keep the hidden units initially in their linear regimes. This setup works well with gradient‑free optimizers (evolution strategies, CMA‑ES) or simple hill‑climbing, which are often preferred when the true objective is noisy or non‑differentiable.
The selection heuristic evaluates every candidate with the surrogate perceptron and returns the one with the highest predicted score. When combined with a global exploration strategy (e.g., Latin hypercube sampling, Sobol sequences, or simulated‑annealing proposals), the greedy pick implements the exploitation phase of a classic explore‑exploit loop, driving the overall pipeline toward a global optimum of the underlying physics objective.
"
248,"h1 = np.tanh(w[0]*m123 + w[1]*pt + w[2]*eta)
h2 = np.maximum(0, w[3]*score_xgb + w[4]*r_ab + w[5]*dr_ab + w[6]*h1)
h3 = np.exp(w[7]*h2 + w[8]*m123)
final_scores = w[9]*h3 + w[10]*h2 + w[11]*h1",Success,0.0000,"The design follows the universal approximation theorem: a shallow MLP with a mixture of smooth (tanh, exp) and piecewise-linear (ReLU) nonlinearities can represent any continuous mapping on a compact domain, provided enough hidden units. By exposing the raw physics-derived features (m123, pt, eta, score_xgb, r_ab, dr_ab) directly to the network we preserve interpretability - each weight has a clear semantic role (e.g., w[0] modulates the influence of the invariant mass, w[3] scales the XGBoost score, etc.). The symbolic formulation keeps the model transparent while still benefitting from deep learning's capacity to discover non-linear interactions. The weight initialization is deliberately small (≈1e-1) to keep the network in the linear regime at start, allowing gradient-based fine-tuning without saturating tanh or exploding exponentials. The selection heuristic first performs a deterministic greedy maximisation of the learned score, then adds a light stochastic perturbation (5% chance to pick a random element from the current top-5) to avoid local traps and approximate a global optimum without expensive exhaustive search. This combination yields a fast, scalable decision step suitable for online physics analyses where latency and interpretability are critical."
251,"h1 = np.tanh(w[0] * m123 + w[1] * pt + w[2] * eta)
# hidden unit 1 captures smooth non‑linear relations
h2 = np.maximum(0, w[3] * score_xgb + w[4] * r_ab + w[5] * dr_ab)   # ReLU promotes sparsity
h3 = np.exp(w[6] * h1 + w[7] * h2)                                 # exponential gating for synergistic effects
final_scores = w[8] * h1 + w[9] * h2 + w[10] * h3",Success,0.0000,"The Deep Symbolic Perceptron maps the physics‑motivated features (m123, pt, eta, score_xgb, r_ab, dr_ab) through a lightweight multi‑layer perceptron. The first hidden unit h1 uses a tanh activation to capture smooth, potentially periodic dependencies (e.g., in angular variables). The second hidden unit h2 applies a ReLU, encouraging sparsity and allowing the model to ignore noisy or irrelevant high‑energy components. An exponential gate h3 then amplifies synergistic interactions between h1 and h2, giving the network the ability to model multiplicative effects common in particle‑physics scattering amplitudes. Finally, a linear read‑out combines the three hidden representations into the scalar final_score. This architecture balances expressive power with interpretability, keeping the symbolic form tractable for physics insight while still being differentiable for gradient‑based fine‑tuning. The selection heuristic employs a softmax‑weighted stochastic sampling over candidate scores, which mitigates premature convergence to local optima by retaining a controlled amount of exploration whilst still biasing the choice toward high‑scoring candidates."
255,"h1 = np.tanh(w[0]*m123 + w[1]*pt + w[2]*eta)
h2 = np.maximum(0, w[3]*score_xgb + w[4]*r_ab)
h3 = np.exp(w[5]*dr_ab)
final_scores = w[6]*h1 + w[7]*h2 + w[8]*h3",Success,0.0000,"Deep Symbolic Perceptron combines the expressive power of a multilayer perceptron with a compact, analytically tractable symbolic form that remains interpretable for physics analyses. The six available features (m123, pt, eta, score_xgb, r_ab, dr_ab) capture complementary kinematic and classifier information that is known to be discriminative in high‑energy physics. By grouping them into three hidden units—tanh for bounded, roughly linear combinations of the three primary kinematic variables, ReLU for a sparsified combination of the boosted‑tree score and the spatial variable r_ab, and an exponential for the scale‑sensitive dr_ab—we enable the network to model both smooth and sharp variations across orders of magnitude. The final linear read‑out with three learned coefficients preserves gradient‑based trainability while keeping the total parameter count low (nine weights), which is advantageous for systematic uncertainty propagation and for embedding physics‑motivated priors. The selection heuristic exhaustively evaluates the model on every candidate and returns the subset achieving the maximal score, guaranteeing a global optimum with respect to the current parametrization. This design balances predictive performance, physical interpretability, and ease of integration into existing analysis workflows."
256,"h1 = np.tanh(w[0]*m123 + w[1]*pt + w[2]*eta + w[3]*score_xgb + w[4]*r_ab + w[5]*dr_ab + w[6])
h2 = np.maximum(0, w[7]*m123 + w[8]*pt + w[9]*eta + w[10]*score_xgb + w[11]*r_ab + w[12]*dr_ab + w[13])
h3 = np.exp(w[14]*m123 + w[15]*pt + w[16]*eta + w[17]*score_xgb + w[18]*r_ab + w[19]*dr_ab + w[20])
final_scores = w[21]*h1 + w[22]*h2 + w[23]*h3 + w[24]",Success,0.0000,"The design implements a shallow multi‑layer perceptron where each hidden unit uses a distinct non‑linear activation (tanh for smooth saturation, ReLU for piece‑wise linear behaviour, and exponential for rapid growth) to capture a wide variety of physical correlations among the six engineered features (m123, pt, eta, score_xgb, r_ab, dr_ab). By flattening all trainable parameters into a single weight vector w the model remains fully symbolic and easily introspectable, which is valuable for physics interpretability. The final linear read‑out combines the heterogeneous hidden responses, enabling the network to approximate complex decision boundaries while staying lightweight enough for rapid evaluation during candidate selection. The greedy selector computes the deterministic score for every candidate and returns the maximal one; a optional coarse‑to‑fine two‑stage scheme keeps the method scalable to very large pools without sacrificing optimality."
257,"h1 = np.tanh(w[0]*m123 + w[1]*pt + w[2]*eta + w[3]*score_xgb + w[4]*r_ab + w[5]*dr_ab + w[6])
h2 = np.maximum(0, w[7]*h1 + w[8]*m123 + w[9]*pt + w[10])
final_scores = np.exp(w[11]*h2 + w[12]*h1 + w[13]*m123 + w[14]*pt + w[15]*eta + w[16]*score_xgb + w[17]*r_ab + w[18]*dr_ab + w[19])",Success,0.0000,"The proposed Deep Symbolic Perceptron (DSP) follows the classic multi‑layer perceptron topology but is expressed symbolically so that each operation can be inspected, differentiated and optimized with simple gradient‑based or evolutionary methods. The first hidden layer uses a tanh activation, which provides smooth, bounded non‑linearity and helps capture the intricate correlations among the raw physics features (m123, pt, eta, score_xgb, r_ab, dr_ab). The second hidden layer applies a ReLU (np.maximum) to introduce sparsity and allow the network to learn piece‑wise linear relationships that are common in detector response functions. The final output is wrapped in an exponential, guaranteeing a strictly positive score – useful when the score must be interpreted as a likelihood or weight in a downstream selection algorithm.  

Weight initialization is deliberately small (order 10⁻¹) to keep the network in the linear regime at the start of training, making the gradients well‑behaved and facilitating rapid convergence when fine‑tuned on limited labeled data.  

For candidate selection, the heuristic combines an exhaustive search for small problem sizes (ensuring a provable global optimum) with a greedy constructive algorithm for larger sets where combinatorial explosion would be prohibitive. The greedy phase respects the physics‑driven “pair_key” uniqueness constraint, which prevents double‑counting of objects that cannot be used simultaneously. This hybrid approach balances optimality, computational tractability, and interpretability, making it well suited for high‑energy‑physics analyses where both performance and transparency are critical."
258,"h1 = np.tanh(w[0]*m123 + w[1]*pt + w[2]*eta + w[3]*score_xgb + w[4]*r_ab + w[5]*dr_ab + w[6])
h2 = np.exp(w[7]*m123 + w[8]*pt + w[9]*eta + w[10]*score_xgb + w[11]*r_ab + w[12]*dr_ab + w[13])
h3 = np.maximum(0, w[14]*h1 + w[15]*h2 + w[16])
final_scores = w[17]*h3 + w[18]",Success,0.0000,"The proposed Deep Symbolic Perceptron (DSP) mimics a shallow MLP but keeps every operation explicit in Python. By stacking a tanh hidden unit, an exponential hidden unit and a ReLU‑combination layer we obtain a rich non‑linear function space while staying fully differentiable – essential for later gradient‑based training on physics‑informed loss functions. The weight vector `w` is flat, which makes it easy to inject domain‑knowledge (e.g. initializing couplings that respect known symmetries) and to evolve with meta‑optimisation.

The selection heuristic is built around the DSP’s scalar output. A purely greedy pick of the highest scoring candidate would quickly converge to a local mode of the score landscape. To push the search toward a global optimum we (i) rank by the DSP score, (ii) enforce a minimal Euclidean separation in the most informative kinematic sub‑space (m123, pt, eta), and (iii) stop after a modest number of diverse representatives. This scheme is cheap, deterministic, and works well for high‑dimensional candidate pools where exhaustive enumeration is infeasible. It can be further refined into a simulated‑annealing or evolutionary loop, but the current greedy‑with‑diversity strategy already satisfies the requirement of a “global‑optimum‑seeking” heuristic while keeping the implementation lightweight and transparent for physics analysis pipelines.

Overall, the combination of an expressive yet interpretable symbolic MLP and a diversity‑aware selector provides a solid foundation for downstream tasks such as hypothesis testing, event classification, or parameter inference in high‑energy physics."
